question_number,statement,question_a,question_b,question_c,question_d,question_e,source,answer
1,"Compreender a constituição e o desenvolvimento do corpo humano e de seus sistemas, entender seus 
mecanismos fisiológicos e conhecer a relação de interdependência existente entre os seus órgãos são 
habilidades importantes para o desenvolvimento de atitudes, de hábitos individuais e coletivos saudáveis, como, 
por exemplo, cuidar da nutrição, da higiene, da prática de atividade física e da prevenção de doenças. 
Quando uma pessoa está saudável, física e psicologicamente, tem maior disposição para buscar o equilíbrio em 
outros aspectos e ter uma vida estável. 
Para alcançar o ideal descrito no texto, deve-se","evitar o hábito de fazer refeições balanceadas, pois, a partir da diversidade de substâncias ingeridas, 
o corpo fica com baixa imunidade e mais suscetível às doenças","realizar a prática regular de atividades físicas, pois elas auxiliam no controle da hipertensão arterial, 
amenizam o risco de desenvolver diabetes, melhoram a flexibilidade e previnem a osteopenia","realizar acompanhamento médico periódico, por meio de determinados tipos de exames, pois impede 
o aparecimento de doenças graves nos órgãos como o câncer, o infarto do miocárdio e o mal de Chagas","ingerir quantidade reduzida de água, pois garante a remoção de toxinas e impurezas do corpo, 
especialmente as que se acumulam nos rins e podem formar os cálculos renais","utilizar, antes de dormir, dispositivos eletrônicos, pois a luz desses equipamentos prioriza o relaxamento, 
promovendo o sono tranquilo e restaurador do corpo",Vestibulinho 2SEM2024,B
2,"Leia a imagem.
<http://tinyurl.com/2nseftnc> Acesso 
em: 29.01.2024.
A imagem, produzida por Leonardo da Vinci, permite identificar uma característica marcante do movimento 
artístico, filosófico e científico conhecido como Renascimento. 
Assinale a alternativa que apresenta corretamente essa característica.","Recuperação dos conhecimentos médicos produzidos durante a Idade Média, período histórico que serviu 
de inspiração para a produção cultural renascentista","Inspiração religiosa para a produção de estudos e obras de arte, que idealizavam as características 
divinas em oposição a tudo o que representasse o ser humano","Investigação experimental nos campos da dissecação de cadáveres e do exame corporal, que 
desenvolveu o conhecimento da anatomia humana e da medicina","Valorização do corpo como principal forma de expressão artística, a qual realizou a substituição de telas 
por corpos humanos, considerados “obras de arte vivas”","Criação das práticas de fisiculturismo, inspiradas no padrão estético dos corpos retratados nas esculturas 
da Antiguidade Clássica",Vestibulinho 2SEM2024,C
3,"Dos elementos citados no texto, o único que se encontra encaixado na tabela periódica representada na 
imagem é o",oxigênio,carbono,hidrogênio,nitrogênio,cálcio,Vestibulinho 2SEM2024,C
4,"O elemento que contribui para o equilíbrio dos fluidos corpóreos, mencionado no texto, é ingerido por meio da 
nossa alimentação. 
Esse elemento é um dos constituintes principais",do leite,da carne,do açúcar,da pimenta,do sal de cozinha,Vestibulinho 2SEM2024,E
5,"Os lipídios são moléculas orgânicas como os óleos e as gorduras. São encontrados em alimentos como as 
carnes vermelhas, a gema de ovo, as oleaginosas, os óleos vegetais, entre outros. Os lipídios não são solúveis 
em água, mas se dissolvem em solventes orgânicos.
Quando ingeridos, os lipídios passam pelo processo de emulsificação no interior do duodeno, primeira parte 
do intestino delgado, por meio da ação dos ácidos biliares. Posteriormente, são digeridos por enzimas no trato 
gastrointestinal, sendo os produtos dessa digestão, finalmente, absorvidos pelas células da mucosa intestinal. 
Sobre esse processo de emulsificação, é correto afirmar que","consiste em hidrolisar os lipídios, produzindo aminoácidos e água","impede que os lipídios sejam absorvidos, facilitando a sua eliminação no bolo fecal","estimula o trânsito intestinal dos lipídios, permitindo sua distribuição pelas células do corpo","ocorre na cavidade bucal pela ação da enzima amilase salivar, produzindo glicerol e ácidos graxos","age como detergente, aumentando a superfície de contato e facilitando a atuação das enzimas lipases",Vestibulinho 2SEM2024,E
6,"É correto afirmar que o trecho “alguma coisa mudou”, presente no quinto parágrafo do texto, relaciona-se",à manutenção dos mecanismos de absorção de energia que excluíam a ingestão de proteína animal,"à alimentação contínua e demorada de primatas, como gorilas e humanos, que consomem frutas",à estrutura tridimensional das moléculas dos cérebros de primatólogos,ao modo de preparo e ao tipo de alimento que passou a ser consumido pelos humanos,"às tarefas realizadas por todos os humanos que consomem flores e frutas para garantir energia para o 
cérebro",Vestibulinho 2SEM2024,D
7,"Segundo o texto, é correto afirmar que",os primatas gastam menos tempo e energia com alimentação ao consumirem produtos in natura,"o cozimento de alimentos acarreta um gasto energético cerebral maior pela dificuldade na concretização 
dessa ação","o cérebro humano, para obter a energia necessária, utiliza 20 % das calorias ingeridas diariamente por um 
indivíduo","a manutenção de uma dieta restrita a alimentos crus facilitou a digestão dos humanos e ampliou a 
absorção de energia dos alimentos","o tempo dedicado ao preparo dos alimentos aumentou o número de neurônios do cérebro humano, 
tornando a demanda por energia ainda maior",Vestibulinho 2SEM2024,C
8,"A partir do texto, é correto afirmar que",a biologia humana se desenvolveu de forma independente do modo de vida dos homens pré-históricos,"o consumo de proteínas de origem animal teve impacto diminuto na formação do cérebro humano como 
o conhecemos hoje","a ingestão de carne fornece proteínas e calorias e, por isso, é prejudicial para a formação e para a saúde 
do corpo humano","a inclusão de carne nos hábitos alimentares contribuiu para a evolução do corpo humano e para o 
surgimento de diferentes habilidades","a afirmação de que a proteína animal favoreceu o crescimento do cérebro é considerada controversa 
pelos cientistas",Vestibulinho 2SEM2024,D
9,"Na frase “Como se alimentam basicamente de folhas, eles precisam ingerir nada menos que 18 quilogramas 
de comida por dia.” (2º parágrafo),",a conjunção “como” inicia a oração subordinada que expressa ideia de causa,o pronome “se” foi empregado para indeterminar o sujeito da oração,"o advérbio “basicamente” expressa ideia de inapropriado e intensifica a ação de os animais alimentarem-se 
de folhas","a preposição “de”, em “de comida”, tem a função de conectar dois substantivos e expressa ideia de 
exclusão","o verbo “precisar”, na expressão “precisam ingerir”, indica ação eventual, esporádica",Vestibulinho 2SEM2024,A
10,"De acordo com o texto, é correto afirmar que",o cerebelo é a região mais extensa e com maior massa do encéfalo,"o cérebro tem, pelo menos, 10 vezes mais gliócitos do que neurônios",a região do encéfalo com maior concentração de neurônios é o cérebro,o número total de células do encéfalo é maior do que 100 bilhões,as células que existem em maior quantidade no encéfalo são os gliócitos,Vestibulinho 2SEM2024,D
11,"Suponha que, na região do encéfalo,
 • todos os gliócitos são idênticos entre si e têm a mesma massa; e
 • todos os neurônios são idênticos entre si e têm a mesma massa.
Desse modo, e utilizando os dados relativos ao cérebro e o cerebelo, seria possível montar um sistema de 
equações que permite descobrir a massa exata de um bilhão de neurônios (indicada pela letra N) e de um bilhão 
de gliócitos (representada pela letra G).
Entre os sistemas de equações apresentados nas alternativas, assinale aquele que resolve a questão proposta 
no enunciado.
61N + 16G = 150
69N + 16G = 1250","69N + 16G = 150
16N + 61G = 1250","16N + 69G = 1250 
61N + 16G = 150","16N + 69G = 150 
16N + 61G = 1250","16N + 61G = 150 
16N + 69G = 1250",,Vestibulinho 2SEM2024,B
12,"A pele humana possui uma camada superior chamada epiderme, onde são encontrados os melanócitos, células 
responsáveis pela produção da melanina, pigmento responsável pela cor da pele. 
A ausência parcial ou total de melanina na pele, nos olhos, nos pelos e nos cabelos das pessoas é conhecida 
como albinismo.
O albinismo é uma característica genética recessiva presente em algumas pessoas, e pode acontecer quando",apenas um dos pais adquire problemas infeciosos na pele durante a infância,"apenas um dos pais é albino, e o outro é não albino e homozigoto","nenhum dos pais é albino, mas ambos são heterozigotos","nenhum dos pais é albino, mas ambos são homozigotos",ambos os pais têm histórico de subnutrição infantil,Vestibulinho 2SEM2024,C
13,"Para lidar com a questão do preconceito e discriminação contra as minorias, Stan Lee e Jack Kirby criaram, 
no universo dos quadrinhos, os “mutantes”: seres humanos que, em virtude de uma característica genética 
incomum, o “gene X”, desenvolviam capacidades extraordinárias quando alcançavam a adolescência. Lee 
e Kirby nomearam sua criação como os X-Men, um grupo que representava todas as minorias – negros, 
homossexuais, imigrantes, judeus, só para citar alguns – que sofriam de preconceito pela maioria dominante.
Cada alternativa apresenta um dito popular e sua respectiva interpretação. 
Assinale a alternativa em que o dito popular aponta a melhor atitude para evitar a questão que levou à criação 
dos X-Men.
Dito popular brasileiro
Significado associado","Não julgue um livro 
pela capa.
Empregada como uma advertência de que não se deve julgar nada, 
nem ninguém, somente pela sua aparência e/ou características físicas","A grama do vizinho 
é sempre mais verde.
Aplicada para descrever situações em que uma pessoa inveja a vida 
de outra pessoa","Quem não tem cão 
caça, com gato.
Remete ao fato de que, em determinadas situações, pode-se buscar 
soluções alternativas a problemas, mesmo que não sejam a solução ideal.
Utilizada como uma metáfora para quando uma pessoa está em dúvida, 
visto que, no escuro, é difícil distinguir com clareza as particularidades 
daquilo que nos rodeia","À noite, todos os gatos 
são pardos","Quando um burro fala, 
o outro abaixa as orelhas.
Usada para lembrar uma pessoa, ou grupo de pessoas, de que é preciso 
escutar enquanto alguém está falando, sem ficar interrompendo",Vestibulinho 2SEM2024,A
14,"A definição de pressão diz que essa grandeza é dada pela razão da intensidade da força aplicada 
perpendicularmente sobre uma superfície e a área de aplicação dessa força. Matematicamente, temos:
 , em que P corresponde à pressão; F corresponde à intensidade da força; e A, à área da aplicação
 
dessa força.
Por isso, objetos pontiagudos, como facas e agulhas, conseguem perfurar a pele facilmente devido à pressão 
exercida sobre a pele sem que haja a necessidade de aplicar muita força.
Assinale a alternativa que preenche, correta e respectivamente, o texto.
F
P
A
I I 
 I
Quando temos a intensidade da força constante, a pressão e a área são grandezas .................. proporcionais. 
Nesse contexto, quando uma faca está bem afiada, temos a .................. da área de aplicação dessa força, 
logo a pressão será .................. .
I II
I 
II
III","diretamente
diminuição
maior","diretamente
aumento 
menor","inversamente
diminuição
maior","inversamente
aumento 
maior","inversamente
diminuição
menor",Vestibulinho 2SEM2024,C
15,"Por meio das pinturas corporais, os indígenas brasileiros carregam no corpo e no rosto a 
identidade cultural de sua comunidade. O ato de se pintar ritualmente é uma forma de expressar 
os valores da cultura de uma etnia. Além da relevância estética, as pinturas traduzem usos, 
costumes, saberes e tradições ancestrais, obedecendo a preceitos simbólicos e ritualísticos 
passados de geração em geração.
É correto afirmar que os costumes, mencionados no texto,","são uma forma de culto ao corpo e têm, como finalidade básica, a aproximação a um padrão estético 
estabelecido","têm significados profundos e são tão diversificados quanto as comunidades indígenas que habitam o 
território brasileiro","fazem parte de um estilo de vida baseado no consumo de mercadorias, bens e serviços variados","promovem modificações irreversíveis no corpo, utilizando símbolos que são passados de geração 
em geração","são realizados para modificar estruturas do corpo a fim de melhorar a aparência e a autoestima dos 
indígenas",Vestibulinho 2SEM2024,B
16,"Durante a década de 1980, os Yanomami sofreram imensamente quando cerca de quarenta 
mil garimpeiros brasileiros invadiram suas terras. Em apenas sete anos, vinte por cento dos 
Yanomami morreram.
Depois de uma longa campanha, as terras Yanomami no Brasil foram finalmente demarcadas 
em 1992.
Apesar da demarcação, a invasão de garimpeiros às terras Yanomami continua. Milhares de 
garimpeiros ainda trabalham ilegalmente nas terras Yanomami, transmitindo doenças mortais e 
poluindo os rios e as florestas com mercúrio. 
Alguns Yanomami têm sido envenenados e expostos a ataques violentos.
Com base no texto, é correto afirmar que",o povo Yanomami utilizou o mercúrio como arma para repelir os garimpeiros e se proteger deles,"os rios foram contaminados por mercúrio pelos Yanomami para impedir a ação ilegal de garimpeiros em 
suas terras","as doenças típicas dos Yanomami, como gripe, sarampo e rubéola, dizimaram mais de 40 mil garimpeiros, 
que não tinham imunidade","a invasão de garimpeiros, ocorrida em 1980, fez a população Yanomami aumentar vinte por cento 
por causa da miscigenação","os Yanomami, mesmo com suas terras demarcadas, ainda enfrentam a violência causada principalmente 
pela presença ilegal de garimpeiros",Vestibulinho 2SEM2024,E
17,"Não é mais nenhum segredo que as mudanças climáticas e a agressão ao meio ambiente estão 
entre as ameaças mais graves à humanidade e, se nada for feito, em poucos séculos a Terra, 
como a conhecemos, pode deixar de existir. Mas não importa o quanto se fale no assunto, pouca 
gente parece perceber ou compreender o que podem fazer de fato para mudar a situação. 
Não é preciso muito: atitudes simples, no dia a dia, podem ajudar a minimizar os danos causados 
ao meio ambiente.
Em relação ao texto, uma atitude cotidiana e coerente, para minimizar os prejuízos citados, é","utilizar, na construção civil, madeiras oriundas de árvores retiradas de Áreas de Preservação Permanente, 
com o intuito de diminuir significativamente as atividades extrativistas","o uso maior de embalagens plásticas, pois elas são sustentáveis e substituem as embalagens de vidro e 
de isopor, que utilizam muita água em seus processos de limpeza","a diminuição do uso da água, pois, por exemplo, ao desligar a torneira ao escovar os dentes, é possível 
economizar muitos litros de água","a ampliação do consumo de carne, uma vez que a produção desse alimento não tem nenhuma relação 
com as agressões ao meio ambiente","manter as luzes permanentemente acesas nas casas, nos prédios e nas indústrias para priorizar a 
utilização de fontes renováveis de energia",Vestibulinho 2SEM2024,C
18,"De acordo com as informações do texto, se tivéssemos uma mulher com a mesma massa do homem citado no 
texto, o volume máximo de água, em litros, presente em seu corpo seria","36,4","38,5","42,0","55,0","70,0",Vestibulinho 2SEM2024,B
19,"Na fórmula molecular da água, a proporção entre o número de átomos de hidrogênio e de oxigênio é, 
respectivamente,
HIDROGÊNIO 
OXIGÊNIO","1
2","2
1","1
1","27
4","9
61",Vestibulinho 2SEM2024,B
20,"A temperatura ambiente confortável para o ser humano fica em torno de 20 a 35 graus Celsius. Por sua vez, a 
temperatura ideal do corpo humano é de 36,5 a 37 graus Celsius. 
No corpo humano, há receptores que captam as variações de temperatura e ativam mecanismos para regular a 
temperatura do corpo. Logo, para manter a temperatura corporal estável, tem-se que produzir ou perder calor.
Assinale a alternativa que preenche, correta e respectivamente, a frase apresentada.
Em um dia muito quente, um dos mecanismos de troca de calor entre o corpo e o ambiente é a sudorese, por meio 
da .................. da água presente no suor. Nesse processo, a água ................... calor do corpo e, consequentemente, 
.................. a temperatura corpórea.
I I 
 I 
 I II
I 
II
III","condensação
absorve
aumenta","condensação
libera
diminui","evaporação
absorve
aumenta","evaporação
absorve 
diminui","evaporação
libera
aumenta",Vestibulinho 2SEM2024,D
21,"Um elemento fundamental no metabolismo de quase todos os organismos vivos é o ferro. Ele é encontrado na 
hemoglobina e é responsável pelo transporte de oxigênio nas células vermelhas do sangue. 
Considere um átomo do elemento ferro, no estado fundamental, que apresenta número atômico 26 (Z = 26) e 
número de massa 56 (A = 56). 
A partir dessas informações, assinale a alternativa que apresenta o número de partículas fundamentais 
presentes na estrutura desse átomo de ferro.
PRÓTONS
ELÉTRONS
NÊUTRONS","26
26
30","26
26
56","26
56
26","56
56
26","56
56
30",Vestibulinho 2SEM2024,A
22,"O sangue é um tecido vivo que circula pelo corpo, levando oxigênio e nutrientes a todos os órgãos. 
Os hemogramas são exames que permitem fazer uma avaliação do estado clínico dos pacientes, auxiliando no 
diagnóstico e no acompanhamento de alguns tipos de problemas de saúde. 
No quadro, estão representados alguns resultados de hemogramas de três pacientes do sexo feminino. 
As análises desses resultados são feitas por meio da comparação com os valores de referência apresentados.
VALORES ENCONTRADOS NOS HEMOGRAMAS DE TRÊS PACIENTES DO SEXO FEMININO
Hemograma 
Paciente 
(1)
Paciente 
(2)
Paciente 
(3)
Valores de referência 
Sexo feminino
Hemácias 
(ou glóbulos vermelhos)
4,63
2,38
4,76
3,9 a 5,0 milhões/mm3
Plaquetas
87
380
180
150,0 a 450,0 mil/mm3
Leucócitos 
(ou glóbulos brancos)
6040
7800
2400
3500 a 10500/mm3
Com base na análise dos resultados obtidos, assinale a alternativa que apresenta corretamente a paciente e 
sua respectiva alteração fisiológica.
Paciente 
Alteração Fisiológica","(1)
Aumento dos processos infecciosos e alérgicos","(2)
Aumento da probabilidade de formação de coágulos no sangue","(3)
Diminuição no transporte dos gases respiratórios","(2)
Diminuição da produção de anticorpos","(1)
Dificuldade de coagulação sanguínea",Vestibulinho 2SEM2024,E
23,"No texto, o corpo do eu lírico","representa o acolhimento e a vivência harmônica com a sociedade, que se confirmam historicamente","interfere no direito do eu lírico de ser ouvido na sociedade, levando-o a recorrer a uma linguagem 
saudosista",omite as marcas de opressão de sua realidade enquanto se molda às exigências sociais,"expressa não só sua identidade, mas também constrói a relação do sujeito com o mundo","simboliza tanto seu pertencimento a um grupo social, quanto sua aversão à aparência física",Vestibulinho 2SEM2024,D
24,As informações do texto estão expressas em,"verso, organizadas em três parágrafos e um período","prosa, organizadas em três parágrafos e doze orações","verso, organizadas em quatro estrofes e quatro orações","prosa, organizadas em quatro estrofes e quatro orações","prosa poética, organizadas em quatro parágrafos e quatro períodos",Vestibulinho 2SEM2024,C
25,"Qual energia é responsável pela manutenção da vida?
É a energia química proveniente da quebra e da formação de ligações entre os átomos. A quebra de ligações 
é um processo que absorve energia, e a formação é um processo que libera energia. O balanço energético 
entre a quebra e a formação de ligações químicas, em certas reações, é responsável pela manutenção da vida.
No metabolismo humano, a oxidação aeróbica de moléculas orgânicas, como a glicose, além de formar água e 
gás carbônico, libera energia para as atividades celulares.
Baseando-se no texto, a quebra de ligações é um processo","endotérmico, pois libera energia","endotérmico, pois absorve energia","isotérmico, pois não há variação de energia","exotérmico, pois libera energia","exotérmico, pois absorve energia",Vestibulinho 2SEM2024,
26,"Por ser uma campanha que prioriza a conscientização, o texto utiliza-se de","linguagem não verbal, embora esse tipo de linguagem raramente apareça em cartazes e textos publicitários",verbos no pretérito para expressar a universalidade das ações narradas,linguagem verbal rebuscada para direcionar o texto especificamente ao público acadêmico,linguagem denotativa com o intuito de dar sentido irônico aos termos “decisão” e “doar”,verbos e pronomes que se referem ao leitor para convencê-lo a tomar uma iniciativa em relação ao tema,Vestibulinho 2SEM2024,E
27,"Assinale a alternativa que apresenta uma interpretação correta para a frase “não deixe cair por terra o que pode 
alçar novos voos”.","Aja com desconfiança, mas seja um doador de órgãos",Aja criteriosamente e liste instituições privadas para doar seus órgãos,Não seja altruísta e doe órgãos somente para os familiares,Não obstrua o caminho daqueles indivíduos que já receberam órgãos,Não desperdice a oportunidade de ajudar quem precisa de um doador,Vestibulinho 2SEM2024,E
28,"A tomada de decisão, abordada no texto, é","particular, mas afeta outro indivíduo na sociedade","particular, e resulta da aparência física do indivíduo","coletiva, e depende da sociedade para se realizar","coletiva, e deve ser tomada pelos anciões do grupo","coletiva, sem consequências sociais",Vestibulinho 2SEM2024,A
29,"Na Grécia Antiga, o corpo humano geralmente era modelado nos ginásios e exposto durante os Jogos 
Olímpicos, representando juventude, saúde, força e virilidade.
Nessa sociedade,",a prática esportiva era mais valorizada do que as atividades intelectuais e políticas,"o ideal de beleza era o homem, cujo corpo perfeito era considerado um reflexo da inteligência","os corpos femininos, que ocupavam os espaços públicos, eram a principal referência de virtude a ser 
perseguida pelos homens","os jogos olímpicos eram uma forma de mobilidade social, pois premiavam os escravizados com a 
ascensão para as classes altas","os jogos olímpicos e as atividades relacionadas ao desenvolvimento do corpo eram considerados indignos 
e, por isso, só eram praticados pelos estrangeiros",Vestibulinho 2SEM2024,B
30,"Existe um tipo de máquina simples que consiste, normalmente, em uma barra rígida móvel apoiada em um 
ponto fixo.
Semelhante a essas máquinas, os músculos e os ossos, juntamente com as articulações, formam um conjunto 
que nos permitem executar atividades corriqueiras como levantar objetos. Um exemplo são os exercícios com 
halteres para trabalhar o bíceps.
A máquina, citada no texto, é denominada",alavanca,polia,rosca,engrenagem,mola,Vestibulinho 2SEM2024,A
31,"Você pode até não saber, mas é um ser geográfico. É da natureza humana estabelecer caminhos, 
definir e demarcar territórios, contemplar ou produzir paisagens, dividir o todo em regiões e 
relacionar-se com o espaço geográfico. Mas o que é esse tal de espaço geográfico, afinal? 
Para o geógrafo brasileiro Milton Santos, o conceito de espaço geográfico é definido como um 
conjunto indissociável do qual participam, de um lado, certo arranjo de objetos geográficos, 
objetos naturais e objetos sociais; e, de outro, a vida que os preenche e os anima, ou seja, a 
sociedade em movimento.
De acordo com o texto, podemos concluir corretamente que o conceito abordado é","consequência de um arranjo de objetos naturais, sem a participação da sociedade, que é vista como um 
objeto estático","produto de ações de cada indivíduo na natureza, sem relação com os movimentos mais amplos da 
sociedade",resultado da relação entre o ser humano e o meio no qual ele habita e do qual também faz parte,"efeito das modificações no núcleo do planeta Terra, causadas pelos elementos da natureza","fruto do arranjo astronômico do sistema solar, ou seja, o que chamamos de espaço sideral",Vestibulinho 2SEM2024,C
32,"O Imperialismo, ou Neocolonialismo, é definido como um movimento de conquista, domínio e exploração 
econômica e social, realizado pelas nações industrializadas europeias sobre a África e a Ásia, continentes 
habitados por pessoas com fenótipos diferentes dos europeus.
Esse movimento tem como uma de suas principais características","a reivindicação de melhores condições de vida para as populações afetadas pela crise econômica 
de 2008","a polarização do mundo em dois blocos ideológicos, no contexto da Guerra Fria, na segunda metade do 
século XX","a utilização ideológica de teorias raciais, como o racismo científico e o darwinismo social, formuladas 
no século XIX","a formação das monarquias nacionais europeias, como consequência da Guerra dos Cem Anos, entre 
França e Inglaterra","a oposição da França à política ambiental dos países em desenvolvimento, em meio à crise climática que 
caracteriza o início do século XXI",Vestibulinho 2SEM2024,C
33,"A NBR 9050 é uma norma brasileira que busca garantir que ambientes e serviços sejam inclusivos e acessíveis 
a todos. 
Em cinemas, por exemplo, ela prevê que a distância mínima para a localização dos espaços para pessoas 
em cadeira de rodas deve ser calculada a partir do limite superior da tela, como mostrado no esquema ilustrado 
na imagem.
Altura 
da tela
30o
1,15 m
1,20 m
d
Suponha que um cinema vá instalar uma tela com 17 m de altura e que os olhos do cadeirante estejam a 
0,6 metros de distância da parede esquerda do esquema.
Nessas condições, para garantir o previsto na NBR e adotando , o comprimento d, indicado na
17
tg 30°
30
=
imagem, deve medir, em metros,","30,0","29,4","28,8","28,2","27,6",Vestibulinho 2SEM2024,B
34,O defeito de visão exemplificado no texto é conhecido como,miopia,catarata,glaucoma,astigmatismo,hipermetropia,Vestibulinho 2SEM2024,A
35,"Baseando-se no texto, assinale a alternativa que apresenta o fenômeno físico responsável pela formação 
de imagens no olho humano.",Reflexão,Refração,Difração,Polarização,Dispersão,Vestibulinho 2SEM2024,B
36,"As lentes, para correção do defeito de visão citado no texto, são denominadas","convergentes, que podem ser biconvexas, plano-convexas e côncavo-convexas","convergentes, que podem ser bicôncavas, plano-côncavas e convexo-côncavas","divergentes, que podem ser côncavas e convexas","divergentes, que podem ser biconvexas, plano-convexas e côncavo-convexas","divergentes, que podem ser bicôncavas, plano-côncavas e convexo-côncavas",Vestibulinho 2SEM2024,E
37,"Estudo publicado pela revista Seismological Research Letters identificou 
730 locais, onde a atividade humana causou terremotos nos últimos 
150 anos. E, embora saibamos há muito tempo que as ações humanas 
podem influenciar atividades sísmicas, pesquisadores ficaram surpresos ao 
descobrir que essas ações induzem terremotos com magnitudes elevadas. 
Além disso, o número de terremotos está claramente aumentando em 
algumas regiões do mundo.
Assim como os terremotos causados pela natureza, os induzidos pelo 
homem têm potencial para serem perigosos e até mesmo mortais.
Os efeitos dos terremotos induzidos pelo ser humano podem ser semelhantes 
aos provindos da natureza, mas, com frequência, são vistos em regiões com 
pouca ou nenhuma atividade sísmica anterior.
A maioria dos terremotos naturais ocorre ao longo de falhas geológicas, 
encontradas quase sempre (mas não só) onde diferentes placas tectônicas 
se tocam. No entanto, terremotos causados pela atividade humana podem 
acontecer longe das extremidades das placas tectônicas.
Com base no texto, é correto afirmar que os terremotos","são causados tanto por forças endógenas, quanto pelas atividades humanas",ocasionados por fenômenos naturais não ocorrem mais no planeta Terra,provocados pelos seres humanos não alcançam magnitudes elevadas,estimulados pelos agentes bióticos não ocorrem há mais de 150 anos,ocorrem unicamente em áreas de separação de placas tectônicas,Vestibulinho 2SEM2024,A
38,"A movimentação do corpo, durante os exercícios físicos, estimula os pulmões a respirarem mais profunda e 
rapidamente para captar mais oxigênio. O coração passa a bater mais depressa, aumentando a frequência 
cardíaca, no intuito de levar mais sangue oxigenado dos pulmões para os músculos, que estão em atividade. 
Nos músculos, o oxigênio é direcionado para as células que estão trabalhando para que, junto com o glicogênio 
e a gordura, seja gerada a energia suficiente para corresponder à demanda do exercício. 
Durante o momento dos exercícios apontado no texto, ocorre","a aceleração da liberação de energia para as atividades dos músculos, ocasionando problemas 
pulmonares, infecções renais e dificuldades locomotoras","a diminuição da quantidade de oxigênio nos músculos, reduzindo os processos de oxidação e a liberação 
de energia para as atividades musculares","a redução da frequência cardíaca, prejudicando o transporte, pelo sistema circulatório, de oxigênio e de 
células do sistema imunológico","o aumento do fluxo sanguíneo, melhorando a oxigenação dos tecidos musculares e a liberação de 
energia para os exercícios","a estimulação dos processos de absorção de oxigênio pelos pulmões, diminuindo a oxigenação das 
células musculares",Vestibulinho 2SEM2024,D
39,"Assinale a alternativa que completa, correta e respectivamente, os espaços numerados no parágrafo 
apresentado.
I
Conforme dados do texto, o resgate dos sobreviventes começou no dia .................. de dezembro. Além disso, 
entre as muitas dificultadas enfrentadas por eles, durante o processo de isolamento, há uma doença relacionada 
à carência de vitamina .................. . 
 I I
I 
II","22
C","25
C","23
A","25
D","22
D",Vestibulinho 2SEM2024,A
40,"A velocidade do grupo composto pelos três jovens, para buscar ajuda, é estimada em","6,00 km/h","4,00 km/h","1,70 km/h","0,75 km/h","0,25 km/h",Vestibulinho 2SEM2024,E
41,"Para garantir que o desenvolvimento seja sustentável e inclusivo para a população brasileira, é necessário aliar 
o desenvolvimento social ao econômico e preservar o meio ambiente, principal patrimônio do Brasil em um 
mundo cada vez mais ameaçado pela emergência climática. 
Para alcançar esse objetivo, precisamos de políticas sociais e econômicas consistentes. O foco deve ser 
erradicar a pobreza, reduzir a desigualdade social e criar oportunidades para todos e todas, gerando não 
só mais renda e riqueza, mas também as distribuindo melhor. A destruição da Amazônia nos condenaria 
ao isolamento internacional e ao retrocesso. O seu desenvolvimento sustentável é o bilhete de entrada 
(ou de saída) num mundo afetado pela crise ambiental.
De acordo com o texto, é correto afirmar que","a destruição da Amazônia é fundamental para a entrada do Brasil no grupo dos países mais ricos 
do mundo","o desenvolvimento econômico não se mistura com preservação do meio ambiente, uma vez que são 
processos antagônicos","é preciso que ocorram políticas econômicas sólidas, aliadas à eliminação da pobreza, para se alcançar o 
desenvolvimento sustentável e inclusivo","a emergência climática ocorre fora dos limites da Amazônia, não afetando este bioma em função 
de suas peculiaridades ambientais","é necessário conscientizar o poder público para facilitar a instalação de indústrias no coração da Amazônia 
para manter esse bioma intocado",Vestibulinho 2SEM2024,C
42,"A melatonina é o mensageiro químico que transmite informação sobre os ciclos claro-escuro para o centro 
encefálico que governa o relógio biológico do corpo. No corpo humano, sua concentração, em picograma por 
mililitro de plasma de acordo com horário do dia, é ilustrada no gráfico.
50
Melatonina (pg/mL de plasma)
40
30
20
10
0
Meio-dia
Meio-dia
Meio-dia
Meio-dia
Seis 
Seis 
da tarde
da tarde
Seis 
Seis 
da manhã
da manhã
Meia-noite
Meia-noite
Horário
Fonte dos dados: SILVERTHORN, D.U. Fisiologia Humana – Uma Abordagem Integrada. 7ª Edição. Porto Alegre: Artmed, 2017. Adaptado.
Sobre a concentração da melatonina em picograma por mililitro de plasma, é correto afirmar que ela é",constante por precisamente doze horas,exatamente 50 pg/mL às três horas da tarde,igual a 40 pg/mL somente às seis horas da manhã,menor do que 20 pg/mL às nove horas da manhã,crescente no período entre a meia noite e as seis da manhã,Vestibulinho 2SEM2024,D
